,id,price_x,grade_x,date_x,yr_built_x,yr_renovated_x,floors_1.5,floors_2.0,floors_2.5,floors_3.0,floors_3.5,renovated,price_y,view_x,sqft_living,sqft_lot,bedrooms,bathrooms,price,date_y,yr_renovated_y,yr_built_y,condition,grade_y,view_y,waterfront,zipcode,lat,long,cat_waterfront,cat_view,cat_condition,cat_grade,cat_zipcode
0,7129300520,221900.0,4,2014-10-13,1955,,0,0,0,0,0,0,221900.0,NONE,1180,5650,2,2,221900.0,10/13/2014,,1955,3,4,NONE,,98178,47.5112,-122.257,,NONE,Average,7 Average,98178
1,6414100192,538000.0,4,2014-12-09,1951,1991.0,0,1,0,0,0,1,538000.0,NONE,2570,7242,2,7,538000.0,12/9/2014,1991.0,1951,3,4,NONE,NO,98125,47.721000000000004,-122.319,NO,NONE,Average,7 Average,98125
2,5631500400,180000.0,3,2015-02-25,1933,,0,0,0,0,0,0,180000.0,NONE,770,10000,1,2,180000.0,2/25/2015,,1933,3,3,NONE,NO,98028,47.7379,-122.23299999999999,NO,NONE,Average,6 Low Average,98028
3,2487200875,604000.0,4,2014-12-09,1965,,0,0,0,0,0,0,604000.0,NONE,1960,5000,3,10,604000.0,12/9/2014,,1965,5,4,NONE,NO,98136,47.5208,-122.39299999999999,NO,NONE,Very Good,7 Average,98136
4,1954400510,510000.0,5,2015-02-18,1987,,0,0,0,0,0,0,510000.0,NONE,1680,8080,2,6,510000.0,2/18/2015,,1987,3,5,NONE,NO,98074,47.6168,-122.045,NO,NONE,Average,8 Good,98074
5,1321400060,257500.0,4,2014-06-27,1995,,0,1,0,0,0,0,257500.0,NONE,1715,6819,2,7,257500.0,6/27/2014,,1995,3,4,NONE,NO,98003,47.3097,-122.32700000000001,NO,NONE,Average,7 Average,98003
6,2414600126,229500.0,4,2015-04-15,1960,,0,0,0,0,0,0,229500.0,NONE,1780,7470,2,2,229500.0,4/15/2015,,1960,3,4,NONE,NO,98146,47.5123,-122.337,NO,NONE,Average,7 Average,98146
7,3793500160,323000.0,4,2015-03-12,2003,,0,1,0,0,0,0,323000.0,NONE,1890,6560,2,8,323000.0,3/12/2015,,2003,3,4,NONE,NO,98038,47.3684,-122.031,NO,NONE,Average,7 Average,98038
8,1736800520,662500.0,5,2015-04-03,1965,,0,0,0,0,0,0,662500.0,NONE,3560,9796,2,8,662500.0,4/3/2015,,1965,3,5,NONE,,98007,47.6007,-122.145,,NONE,Average,8 Good,98007
9,9212900260,468000.0,4,2014-05-27,1942,,0,0,0,0,0,0,468000.0,NONE,1160,6000,1,2,468000.0,5/27/2014,,1942,4,4,NONE,NO,98115,47.69,-122.292,NO,NONE,Good,7 Average,98115
