,id,price,date,yr_renovated,yr_built,condition,grade,view,waterfront,zipcode,lat,long,cat_waterfront,cat_view,cat_condition,cat_grade,cat_zipcode
0,7129300520,221900.0,10/13/2014,,1955,3,4,NONE,N/A,98178,47.5112,-122.257,,NONE,Average,7 Average,98178
1,6414100192,538000.0,12/9/2014,1991.0,1951,3,4,NONE,NO,98125,47.721,-122.319,NO,NONE,Average,7 Average,98125
2,5631500400,180000.0,2/25/2015,,1933,3,3,NONE,NO,98028,47.7379,-122.233,NO,NONE,Average,6 Low Average,98028
3,2487200875,604000.0,12/9/2014,,1965,5,4,NONE,NO,98136,47.5208,-122.393,NO,NONE,Very Good,7 Average,98136
4,1954400510,510000.0,2/18/2015,,1987,3,5,NONE,NO,98074,47.6168,-122.045,NO,NONE,Average,8 Good,98074
6,1321400060,257500.0,6/27/2014,,1995,3,4,NONE,NO,98003,47.3097,-122.327,NO,NONE,Average,7 Average,98003
7,2008000270,291850.0,1/15/2015,,1963,3,4,NONE,NO,98198,47.4095,-122.315,NO,,Average,7 Average,98198
8,2414600126,229500.0,4/15/2015,,1960,3,4,NONE,NO,98146,47.5123,-122.337,NO,NONE,Average,7 Average,98146
9,3793500160,323000.0,3/12/2015,,2003,3,4,NONE,NO,98038,47.3684,-122.031,NO,NONE,Average,7 Average,98038
10,1736800520,662500.0,4/3/2015,,1965,3,5,NONE,N/A,98007,47.6007,-122.145,,NONE,Average,8 Good,98007
11,9212900260,468000.0,5/27/2014,,1942,4,4,NONE,NO,98115,47.69,-122.292,NO,NONE,Good,7 Average,98115
12,114101516,310000.0,5/28/2014,,1927,4,4,NONE,NO,98028,47.7558,-122.229,NO,NONE,Good,7 Average,98028
13,6054650070,400000.0,10/7/2014,,1977,4,4,NONE,NO,98074,47.6127,-122.045,NO,NONE,Good,7 Average,98074
14,1175000570,530000.0,3/12/2015,,1900,3,4,NONE,NO,98107,47.67,-122.394,NO,NONE,Average,7 Average,98107
15,9297300055,650000.0,1/24/2015,,1979,3,6,4.0,NO,98126,47.5714,-122.375,NO,GOOD,Average,9 Better,98126
16,1875500060,395000.0,7/31/2014,,1994,3,4,NONE,NO,98019,47.7277,-121.962,NO,NONE,Average,7 Average,98019
17,6865200140,485000.0,5/29/2014,,1916,4,4,NONE,NO,98103,47.6648,-122.343,NO,NONE,Good,7 Average,98103
18,16000397,189000.0,12/5/2014,,1921,4,4,NONE,NO,98002,47.3089,-122.21,NO,NONE,Good,7 Average,98002
19,7983200060,230000.0,4/24/2015,,1969,4,4,NONE,NO,98003,47.3343,-122.306,NO,NONE,Good,7 Average,98003
20,6300500875,385000.0,5/14/2014,,1947,4,4,NONE,NO,98133,47.7025,-122.341,NO,NONE,Good,7 Average,98133
22,7137970340,285000.0,7/3/2014,,1995,3,5,NONE,NO,98092,47.3266,-122.169,NO,NONE,Average,8 Good,98092
23,8091400200,252700.0,5/16/2014,,1985,3,4,NONE,N/A,98030,47.3533,-122.166,,NONE,Average,7 Average,98030
24,3814700200,329000.0,11/20/2014,,1985,4,5,NONE,NO,98030,47.3739,-122.172,NO,NONE,Good,8 Good,98030
25,1202000200,233000.0,11/3/2014,,1941,5,3,NONE,NO,98002,47.3048,-122.218,NO,NONE,Very Good,6 Low Average,98002
27,3303700376,667000.0,12/1/2014,,1909,5,5,NONE,NO,98112,47.6221,-122.314,NO,NONE,Very Good,8 Good,98112
28,5101402488,438000.0,6/24/2014,,1948,3,4,NONE,NO,98115,47.695,-122.304,NO,NONE,Average,7 Average,98115
30,8562750320,580500.0,11/10/2014,,2003,3,5,NONE,NO,98027,47.5391,-122.07,NO,NONE,Average,8 Good,98027
31,2426039314,280000.0,12/1/2014,,2005,3,4,NONE,NO,98133,47.7274,-122.357,NO,NONE,Average,7 Average,98133
32,461000390,687500.0,6/24/2014,,1929,4,4,NONE,NO,98117,47.6823,-122.368,NO,NONE,Good,7 Average,98117
33,7589200193,535000.0,11/10/2014,,1929,4,5,NONE,NO,98117,47.6889,-122.375,NO,NONE,Good,8 Good,98117
34,7955080270,322500.0,12/3/2014,,1981,3,4,NONE,NO,98058,47.4276,-122.157,NO,NONE,Average,7 Average,98058
35,9547205180,696000.0,6/13/2014,2002.0,1930,3,5,NONE,NO,98115,47.6827,-122.31,NO,NONE,Average,8 Good,98115
36,9435300030,550000.0,5/28/2014,,1933,1,2,NONE,NO,98052,47.6621,-122.132,NO,NONE,Poor,5 Fair,98052
37,2768000400,640000.0,12/30/2014,,1904,4,5,NONE,NO,98107,47.6702,-122.362,NO,NONE,Good,8 Good,98107
38,7895500070,240000.0,2/13/2015,,1969,2,4,NONE,NO,98001,47.3341,-122.282,NO,NONE,Fair,7 Average,98001
39,2078500320,605000.0,6/20/2014,,1996,3,5,NONE,NO,98056,47.5301,-122.18,NO,NONE,Average,8 Good,98056
40,5547700270,625000.0,7/15/2014,,2000,3,6,NONE,N/A,98074,47.6145,-122.027,,NONE,Average,9 Better,98074
43,9270200160,685000.0,10/28/2014,,1922,3,4,NONE,NO,98119,47.6413,-122.364,NO,NONE,Average,7 Average,98119
44,1432701230,309000.0,7/29/2014,,1959,4,3,NONE,NO,98058,47.4485,-122.175,NO,NONE,Good,6 Low Average,98058
45,8035350320,488000.0,7/18/2014,,2003,3,5,NONE,NO,98019,47.7443,-121.977,NO,NONE,Average,8 Good,98019
46,8945200830,210490.0,3/25/2015,,1966,3,3,NONE,NO,98023,47.3066,-122.371,NO,NONE,Average,6 Low Average,98023
48,9215400105,450000.0,4/28/2015,,1953,4,4,NONE,NO,98115,47.6796,-122.301,NO,NONE,Good,7 Average,98115
50,5245600105,228000.0,9/16/2014,,1955,3,4,NONE,NO,98148,47.4258,-122.322,NO,NONE,Average,7 Average,98148
51,7231300125,345000.0,2/17/2015,,1966,4,5,NONE,NO,98056,47.4934,-122.189,NO,NONE,Good,8 Good,98056
52,7518505990,600000.0,12/31/2014,,1950,4,4,NONE,NO,98117,47.6808,-122.384,NO,NONE,Good,7 Average,98117
53,3626039271,585000.0,2/5/2015,,1981,3,4,NONE,NO,98117,47.6989,-122.369,NO,NONE,Average,7 Average,98117
56,9478500640,292500.0,8/19/2014,,2008,3,4,NONE,NO,98042,47.3663,-122.114,NO,NONE,Average,7 Average,98042
57,2799800710,301000.0,4/7/2015,,2003,3,5,NONE,NO,98042,47.3663,-122.122,NO,NONE,Average,8 Good,98042
59,8079040320,430000.0,2/23/2015,,1991,3,5,NONE,NO,98059,47.5059,-122.149,NO,NONE,Average,8 Good,98059
60,1516000055,650000.0,12/10/2014,,1959,4,5,4.0,N/A,98166,47.4336,-122.339,,GOOD,Good,8 Good,98166
61,9558200045,289000.0,8/28/2014,,1954,3,4,NONE,NO,98148,47.4366,-122.335,NO,NONE,Average,7 Average,98148
62,5072410070,505000.0,10/21/2014,,1973,5,5,NONE,N/A,98166,47.4428,-122.344,,NONE,Very Good,8 Good,98166
63,9528102996,549000.0,12/7/2014,,2014,3,5,NONE,NO,98115,47.6765,-122.32,NO,NONE,Average,8 Good,98115
64,1189001180,425000.0,6/3/2014,,1979,3,4,NONE,NO,98122,47.6113,-122.297,NO,NONE,Average,7 Average,98122
65,3253500160,317625.0,11/20/2014,,1925,5,4,NONE,NO,98144,47.5747,-122.304,NO,NONE,Very Good,7 Average,98144
67,3717000160,287000.0,10/9/2014,,2005,3,4,NONE,NO,98001,47.3378,-122.257,NO,NONE,Average,7 Average,98001
68,1274500060,204000.0,8/25/2014,,1968,4,4,NONE,NO,98042,47.3621,-122.11,NO,NONE,Good,7 Average,98042
71,1049000060,325000.0,1/5/2015,,1972,4,4,NONE,NO,98034,47.7362,-122.179,NO,NONE,Good,7 Average,98034
72,8820901275,571000.0,6/10/2014,,1916,5,4,NONE,NO,98125,47.7168,-122.287,NO,NONE,Very Good,7 Average,98125
73,5416510140,360000.0,7/10/2014,,2005,3,5,NONE,NO,98038,47.3608,-122.036,NO,NONE,Average,8 Good,98038
74,3444100400,349000.0,3/16/2015,,1965,5,4,NONE,NO,98042,47.3511,-122.073,NO,NONE,Very Good,7 Average,98042
76,4036801170,380000.0,10/13/2014,,1956,3,4,NONE,NO,98008,47.6034,-122.125,NO,NONE,Average,7 Average,98008
77,2391600320,480000.0,4/20/2015,,1941,3,4,NONE,NO,98116,47.5636,-122.394,NO,NONE,Average,7 Average,98116
78,6300000287,410000.0,6/9/2014,,1956,4,4,NONE,NO,98133,47.7073,-122.34,NO,NONE,Good,7 Average,98133
80,5104520400,390000.0,12/2/2014,,2003,3,5,NONE,NO,98038,47.3512,-122.008,NO,NONE,Average,8 Good,98038
81,7437100340,360000.0,12/22/2014,,1992,3,4,NONE,NO,98038,47.349,-122.031,NO,NONE,Average,7 Average,98038
82,9418400240,355000.0,10/28/2014,,1948,3,4,NONE,NO,98118,47.5474,-122.291,NO,NONE,Average,7 Average,98118
83,1523059105,356000.0,1/28/2015,,1964,3,5,NONE,NO,98059,47.4811,-122.149,NO,NONE,Average,8 Good,98059
84,1133000671,315000.0,6/2/2014,,1952,3,3,NONE,NO,98125,47.7264,-122.31,NO,NONE,Average,6 Low Average,98125
86,2599001200,305000.0,11/3/2014,,1961,5,4,NONE,NO,98092,47.2909,-122.189,NO,NONE,Very Good,7 Average,98092
87,3342103156,461000.0,6/18/2014,,2006,3,6,NONE,N/A,98056,47.5228,-122.199,,NONE,Average,9 Better,98056
88,1332700270,215000.0,5/19/2014,,1979,4,4,NONE,NO,98056,47.518,-122.194,NO,NONE,Good,7 Average,98056
89,3869900162,335000.0,9/4/2014,,2006,3,4,NONE,NO,98136,47.5394,-122.387,NO,NONE,Average,7 Average,98136
90,2791500270,243500.0,5/22/2014,,1988,3,4,NONE,NO,98023,47.2897,-122.372,NO,NONE,Average,7 Average,98023
92,4168000060,153000.0,2/26/2015,,1962,3,4,NONE,NO,98023,47.322,-122.351,NO,NONE,Average,7 Average,98023
93,6021501535,430000.0,7/25/2014,,1939,3,5,NONE,NO,98117,47.687,-122.386,NO,NONE,Average,8 Good,98117
94,6021501535,700000.0,12/23/2014,,1939,3,5,NONE,NO,98117,47.687,-122.386,NO,NONE,Average,8 Good,98117
96,3422049190,247500.0,3/30/2015,,1967,3,4,NONE,NO,98032,47.3576,-122.277,NO,NONE,Average,7 Average,98032
97,1099611230,199000.0,9/12/2014,,1975,4,4,NONE,NO,98023,47.3036,-122.378,NO,NONE,Good,7 Average,98023
98,722079104,314000.0,7/11/2014,,1980,5,4,NONE,NO,98038,47.4109,-121.958,NO,NONE,Very Good,7 Average,98038
99,7338200240,437500.0,5/16/2014,,1992,3,6,3.0,NO,98045,47.4838,-121.714,NO,AVERAGE,Average,9 Better,98045
101,5200100125,555000.0,10/27/2014,,1929,4,4,NONE,NO,98117,47.6775,-122.372,NO,NONE,Good,7 Average,98117
102,7214720075,699950.0,12/12/2014,,1983,4,5,NONE,NO,98077,47.7731,-122.08,NO,NONE,Good,8 Good,98077
104,6197800045,290000.0,9/24/2014,,1954,3,4,NONE,NO,98058,47.4375,-122.184,NO,NONE,Average,7 Average,98058
105,1328310370,375000.0,4/2/2015,,1978,4,5,NONE,N/A,98058,47.4431,-122.133,,NONE,Good,8 Good,98058
106,546000875,460000.0,5/23/2014,,1939,4,4,NONE,NO,98117,47.6878,-122.38,NO,NONE,Good,7 Average,98117
107,3530510041,188500.0,7/23/2014,,1985,4,5,NONE,NO,98198,47.3813,-122.322,NO,NONE,Good,8 Good,98198
108,1853000400,680000.0,3/5/2015,,1991,4,7,NONE,NO,98077,47.7304,-122.082,NO,NONE,Good,10 Very Good,98077
109,3134100116,470000.0,8/27/2014,,1942,4,4,NONE,NO,98052,47.6417,-122.109,NO,NONE,Good,7 Average,98052
110,9545230140,597750.0,7/25/2014,,1984,3,5,NONE,NO,98027,47.5386,-122.053,NO,NONE,Average,8 Good,98027
111,3362400511,570000.0,3/4/2015,,1905,5,3,NONE,NO,98103,47.6823,-122.349,NO,NONE,Very Good,6 Low Average,98103
112,2525310310,272500.0,9/16/2014,,1980,4,4,NONE,NO,98038,47.3624,-122.031,NO,NONE,Good,7 Average,98038
113,6126500060,329950.0,11/24/2014,,1971,3,4,3.0,NO,98108,47.5474,-122.295,NO,AVERAGE,Average,7 Average,98108
114,8961960160,480000.0,10/28/2014,,2001,3,6,NONE,NO,98001,47.3183,-122.253,NO,,Average,9 Better,98001
116,3362400431,518500.0,6/26/2014,,2010,3,5,NONE,NO,98103,47.6824,-122.347,NO,NONE,Average,8 Good,98103
117,4060000240,205425.0,6/23/2014,,1945,4,3,NONE,NO,98178,47.5009,-122.248,NO,NONE,Good,6 Low Average,98178
118,3454800060,171800.0,1/8/2015,,1950,3,3,NONE,N/A,98168,47.4965,-122.303,,NONE,Average,6 Low Average,98168
119,1695900060,535000.0,5/11/2015,,1925,4,4,NONE,NO,98144,47.587,-122.294,NO,NONE,Good,7 Average,98144
120,7278700070,660000.0,1/2/2015,,1964,3,5,3.0,NO,98177,47.7728,-122.386,NO,AVERAGE,Average,8 Good,98177
121,6675500070,391500.0,11/19/2014,,1987,3,4,NONE,NO,98034,47.7288,-122.226,NO,NONE,Average,7 Average,98034
122,3626039187,395000.0,4/6/2015,,1953,3,3,NONE,NO,98117,47.6999,-122.364,NO,NONE,Average,6 Low Average,98117
123,3524049083,445000.0,11/4/2014,,1924,5,4,NONE,N/A,98118,47.5299,-122.266,,NONE,Very Good,7 Average,98118
126,4058801670,445000.0,7/17/2014,,1967,3,5,3.0,N/A,98178,47.5091,-122.244,,AVERAGE,Average,8 Good,98178
127,8732020310,260000.0,7/17/2014,,1978,3,5,NONE,NO,98023,47.3129,-122.39,NO,NONE,Average,8 Good,98023
129,7853210060,430000.0,4/6/2015,,2004,3,4,NONE,NO,98065,47.5319,-121.85,NO,,Average,7 Average,98065
130,3668000070,212000.0,1/5/2015,,1986,4,4,NONE,NO,98092,47.2761,-122.152,NO,NONE,Good,7 Average,98092
131,9545240070,660500.0,4/28/2015,,1986,3,5,NONE,NO,98027,47.5343,-122.054,NO,NONE,Average,8 Good,98027
133,8929000270,453246.0,5/12/2014,,2014,3,5,NONE,NO,98029,47.5517,-121.998,NO,NONE,Average,8 Good,98029
134,2767602356,675000.0,1/26/2015,,2005,3,6,NONE,NO,98107,47.6734,-122.38,NO,NONE,Average,9 Better,98107
135,921049315,199000.0,8/13/2014,,1956,4,4,NONE,NO,98003,47.3257,-122.296,NO,NONE,Good,7 Average,98003
136,3655000070,220000.0,8/5/2014,,1968,3,4,NONE,NO,98003,47.3309,-122.299,NO,NONE,Average,7 Average,98003
137,4027700812,452000.0,5/29/2014,,1968,4,5,NONE,NO,98028,47.7689,-122.266,NO,NONE,Good,8 Good,98028
138,3992700335,382500.0,7/7/2014,,1981,3,3,NONE,NO,98125,47.7135,-122.287,NO,NONE,Average,6 Low Average,98125
139,2767603505,519950.0,5/7/2014,,2014,3,5,NONE,NO,98107,47.6722,-122.381,NO,NONE,Average,8 Good,98107
