price,view,sqft_living,sqft_lot,bedrooms,bathrooms
221900.0,NONE,1180,5650,2,2
538000.0,NONE,2570,7242,2,7
180000.0,NONE,770,10000,1,2
604000.0,NONE,1960,5000,3,10
510000.0,NONE,1680,8080,2,6
257500.0,NONE,1715,6819,2,7
229500.0,NONE,1780,7470,2,2
323000.0,NONE,1890,6560,2,8
662500.0,NONE,3560,9796,2,8
468000.0,NONE,1160,6000,1,2
310000.0,NONE,1430,19901,2,2
400000.0,NONE,1370,9680,2,5
530000.0,NONE,1810,4850,4,6
650000.0,GOOD,2950,5000,3,10
395000.0,NONE,1890,14040,2,6
485000.0,NONE,1600,4300,3,2
189000.0,NONE,1200,9850,1,2
230000.0,NONE,1250,9774,2,2
385000.0,NONE,1620,4980,3,5
285000.0,NONE,2270,6300,4,8
252700.0,NONE,1070,9643,1,4
329000.0,NONE,2450,6500,2,7
233000.0,NONE,1710,4697,2,6
937000.0,NONE,2450,2691,2,5
667000.0,NONE,1400,1581,2,2
438000.0,NONE,1520,6380,2,5
719000.0,NONE,2570,7173,3,8
580500.0,NONE,2320,3980,2,8
280000.0,NONE,1190,1265,1,4
687500.0,NONE,2330,5000,3,5
535000.0,NONE,1090,3000,2,2
322500.0,NONE,2060,6659,3,9
696000.0,NONE,2300,3060,2,8
550000.0,NONE,1660,34848,3,2
640000.0,NONE,2360,6000,3,6
240000.0,NONE,1220,8075,3,2
605000.0,NONE,2620,7553,3,8
625000.0,NONE,2570,5520,3,8
775000.0,NONE,4220,24186,3,7
861990.0,NONE,3595,5639,4,9
685000.0,NONE,1570,2280,2,2
309000.0,NONE,1280,9656,2,2
488000.0,NONE,3160,13603,2,8
210490.0,NONE,990,8528,2,2
785000.0,NONE,2290,13416,3,8
450000.0,NONE,1250,5963,2,5
228000.0,NONE,1190,9199,2,2
345000.0,NONE,3150,9134,4,8
600000.0,NONE,1410,4080,2,5
585000.0,NONE,1980,8550,1,5
920000.0,NONE,2730,6000,4,7
885000.0,NONE,2830,5000,3,8
292500.0,NONE,2250,4495,3,8
301000.0,NONE,2420,4750,2,8
951000.0,EXCELLENT,3250,14342,4,11
430000.0,NONE,1850,9976,3,10
650000.0,GOOD,2150,21235,2,7
289000.0,NONE,1260,8400,2,5
505000.0,NONE,2519,8690,2,5
549000.0,NONE,1540,1044,2,5
425000.0,NONE,1660,6000,2,7
317625.0,NONE,2770,3809,2,9
975000.0,NONE,2720,11049,3,8
287000.0,NONE,2240,4648,3,8
204000.0,NONE,1000,12070,2,2
1040000.0,NONE,4770,50094,4,11
325000.0,NONE,1260,5612,2,6
571000.0,NONE,2750,7807,3,6
360000.0,NONE,2380,5000,3,8
349000.0,NONE,1790,50529,2,5
832500.0,NONE,3430,35102,3,14
380000.0,NONE,1760,7300,3,5
480000.0,NONE,1040,5060,2,2
410000.0,NONE,1410,5060,2,2
720000.0,NONE,3450,39683,3,8
390000.0,NONE,2350,5100,2,8
360000.0,NONE,1900,5889,3,8
355000.0,NONE,2020,6720,1,2
356000.0,NONE,1680,8712,2,4
315000.0,NONE,960,6634,2,2
940000.0,NONE,2140,3600,2,4
305000.0,NONE,2660,8400,4,7
461000.0,NONE,2770,6278,2,11
215000.0,NONE,1610,2040,1,7
335000.0,NONE,1030,1066,1,5
243500.0,NONE,1980,7403,3,8
1100000.0,NONE,3520,6353,4,9
153000.0,NONE,1200,10500,2,2
430000.0,NONE,1580,5000,2,4
700000.0,NONE,1580,5000,2,4
905000.0,NONE,3300,10250,3,8
247500.0,NONE,1960,15681,2,5
199000.0,NONE,1160,6400,3,4
314000.0,NONE,1810,41800,2,5
437500.0,AVERAGE,2320,36847,2,8
850830.0,NONE,2070,13241,2,8
555000.0,NONE,1980,3478,2,6
699950.0,NONE,2190,107593,2,7
1090000.0,NONE,2920,8113,2,8
290000.0,NONE,1210,33919,2,2
375000.0,NONE,2340,10005,2,8
460000.0,NONE,1670,4005,2,2
188500.0,NONE,1240,2493,1,5
680000.0,NONE,3140,28037,3,8
470000.0,NONE,2030,12342,4,5
597750.0,NONE,2310,9624,3,8
570000.0,NONE,1260,3328,2,5
272500.0,NONE,1540,12600,2,5
329950.0,AVERAGE,2080,5969,2,5
740500.0,NONE,4380,6350,2,12
518500.0,NONE,1590,1102,2,12
205425.0,NONE,880,6780,1,2
171800.0,NONE,1570,9600,3,6
535000.0,NONE,1610,2982,3,2
660000.0,AVERAGE,2400,6474,2,8
391500.0,NONE,1450,9132,2,6
395000.0,NONE,770,6000,1,2
445000.0,NONE,2100,4400,3,5
770000.0,NONE,2910,10204,2,7
445000.0,AVERAGE,2100,8201,2,7
260000.0,NONE,2160,8811,3,7
822500.0,NONE,2320,4960,4,12
212000.0,NONE,1060,7875,2,5
660500.0,NONE,2010,9603,3,7
784000.0,NONE,3950,111078,2,12
453246.0,NONE,2010,2287,2,8
675000.0,NONE,2140,2278,3,12
